Unnamed: 0,Title,Cleaned_Ingredients
270,Strawberry Honey Balsamic With Black Pepper Ice Cream,¾ cup Strawberry Puree
271,Togarashi Cheesecake With Sorghum,Grated zest and juice of 1 lemon
272,Spicy Tomato–Tuna Noodle Skillet Casserole With Aioli,1 g arlic clove; 1 medium onion; 2 garlic cloves; 2 Tbsp. double-concentrated or regular tomato paste; 1  can  tomatoes or whole peeled tomatoes with their juices; Coarsely chopped parsley
273,Braised Celery With Lentils and Garlic,1 bunch celery
274,Lentil Bolognese,2 oz . bacon or pancetta; 1 large onion; 4 garlic cloves; 2 Tbsp. harissa paste or tomato paste; 1  can whole peeled or  tomatoes; 2¼ cups Big-Batch Marinated Lentils
275,Big-Batch Marinated Lentils,2½ cup s French green or black beluga lentils
276,Sourdough Key Lime Ricotta Cookies,Zest of 1 lime or several key limes; Juice of 1 to 2 limes
277,Cinnamon Sugar Sourdough Waffles,1 cup cubed pineapple; 1⁄4 cup  coconut flakes
278,Blueberry Lemon Corn Muffins,1 tablespoon freshly  lemon zest
279,French Canadian,Garnish: lemon twist
280,Spanish Penny,Garnish: dried apricot on a cocktail pick
281,Spicy Baked Pasta With Cheddar and Broccoli Rabe,3 l arge leeks
282,Crunchy Pickle Salad,½ small white onion
283,Beet Tostadas With Fried Eggs,2 g arlic cloves; 1 tsp.  dried oregano; 1 large white onion
284,Salsa de Árbol,3 dried chiles de árbol
285,Grains in Herby Buttermilk,1 small onion
286,"Pasta With Brown Butter, Whole Lemon, and Parmesan",1 small regular lemon or Meyer lemon
287,One-Pot Gingery Chicken and Rice With Peanut Sauce,6 small skin-on; 2 large shallots; 8 garlic cloves; 1  piece ginger
288,Squash au Vin,4 oz . crimini mushrooms; 1 large onion; 4 large shallots
289,Lentil Kielbassoulet,1 lb . wild mushrooms; 1 lb. kielbasa sausage; 1 large fennel bulb
290,Wood Ear and Cilantro Salad,2 oz . dried wood ear mushrooms; 4 garlic cloves; 1 cup  coarsely chopped cilantro
291,Pickle Potato Salad,4 medium russet potatoes
292,Tangy Vinegar Chicken With Barberries and Orange,3 lb . skin-on; 1 medium onion; 4 garlic cloves; 1 medium orange
293,Swirl Spice Cake,1 cup coarsely chopped pecans; 1 tsp.  orange juice
294,Scallop Rice Bowls With Crunchy Spice Oil,1 lb . dry sea scallops; 1 tsp. finely  peeled ginger; 2 bunches Tuscan kale; 1 avocado; lemon wedges
295,Coconut Cod Chowder With Seasoned Oyster Crackers,1½ lb . skinless; 2 medium leeks
296,Clams Arrabbiata,2 oz . thinly  pancetta; 1 medium onion; 4 garlic cloves; 1 28-oz. can whole peeled tomatoes; 24 littleneck clams; Handful of torn basil leaves
297,Tamarind-Glazed Black Bass With Coconut-Herb Salad,½ cup unsweetened shredded coconut; 2 medium shallots; 1  piece ginger
298,Pork Volcánes al Pastor,1  piece skinless; 4 garlic cloves; ⅓ cup fresh orange juice; ¼ cup fresh lime juice; 8  corn tortillas; Chopped white onion; coarsely chopped cilantro; and lime wedges
299,Goat Birria Tacos With Cucumber Pico de Gallo,1 l arge white onion; 10 garlic cloves; 1  piece ginger; 1  can  fire-roasted tomatoes; 1 Tbsp. dried oregano; 5 Persian cucumbers; ½ medium red onion; ⅓ cup fresh lime juice; ¼ cup chopped basil; 1–4 habanero chiles
300,Stuffed Cabbage With Lemony Rice and Sumac,12–14 l arge savoy or green cabbage leaves; 1 large onion; 1 cup  mixed tender herbs; ⅓ cup chopped golden or brown raisins; 1 Tbsp. fresh lemon juice
301,Pickle Brine Spice Rub,4 Tbsp . coriander seeds; 4 Tbsp. dried dill; 4 tsp. celery seeds
302,Crunchy Spice Oil,6 g arlic cloves
303,Savory-to-Sweet Coffee Spice Mix,2 Tbsp . granulated dried orange peel; 2 tsp. ground fennel seeds or 1⅔ tsp. fennel seeds
304,Chicken Stock on the Grill,8 g arlic cloves; 2-inch piece fresh ginger; 1  chicken; 4 carrots; 4 celery stalks; 2 unpeeled white or red onions; Chopped parsley leaves and lemon wedges
305,Thyme Out,8 l emons; 16 sprigs of thyme
306,Fragrant Mixed Herb and Flatbread Salad (Domaaj),½ cup walnuts; I small bunch mint; 1 small bunch basil; 1 small bunch tarragon; 3 tbsp. pomegranate seeds
307,Torshi Tareh (Persian Sour Herb Stew With Marbled Eggs),1 l arge bunch cilantro; 1 large bunch dill; 1 bunch parsley; 1 small onion; 8 garlic cloves; 10 oz. frozen chopped spinach; ¼ cup dried cilantro; ¼ cup fresh lime juice
308,Efo Riro With Kale and Whitefish,1 medium onion; 3 plum tomatoes; 4 garlic cloves; 4 skinless tilapia or other whitefish fillets; 2 Tbsp. double-concentrated tomato paste; 2 tsp. dried thyme; 1 cube Maggi shrimp or chicken bouillon; 3 Tbsp. dried shrimp; 1 lb.  kale
309,Cabbage Potato Pie,2 lb . russet potatoes
310,Yogurt and Persian Shallot Dip (Mast-o Musir),1 ½ cup s dried musir; 1 cup  shredded fresh mint; 1 tablespoon fresh mint leaves
311,Persian Rice With Fava Beans and Dill (Baqala Polow),3 lb s  fresh fava beans; 1 leek; 4 cloves garlic; 3 cups  coarsely chopped dill weed
312,Chile and Ginger–Fried Tofu Salad With Kale,⅓ cup chopped fresh cilantro leaves; 6 garlic cloves; 1 tablespoon coarsely chopped peeled fresh ginger; 5 ounces baby kale or spinach; Sliced scallions
313,Spicy Sweet-and-Sour Salmon With Dates (Qaliyeh-e Khorma),¼ cup coriander seeds; 1 large red onion; 12 Persian cucumbers; 4–6 thick skinless salmon fillets; 5 cloves garlic; 2 tablespoons date molasses; 5 medjool dates; 1 cup fresh herbs such as cilantro leaves
314,Kateh (Persian Stove-Top Rice),
316,Sumac Baked Fish With Saffron Quinoa,4 fillets of salmon
317,Persian Celery Stew With Mushrooms (Khoresh-e Karafs),1 ½ lb cremini mushrooms; 1 bunch  celery; 1 medium onion; 2 cloves garlic; 3 tablespoons fresh lime juice; 1 cup  chopped fresh parsley; ½ cup  chopped fresh mint
319,Cassoulet Toast,1 small onion; 4 garlic cloves; ½ cup canned chopped tomatoes; 2 sprigs thyme; 1 prepared confit duck leg; Fresh Italian parsley leaves; chopped
320,All-The-Seeds Hamantaschen,1 tsp . finely  orange zest
322,Crispy Tofu Balls,⅓ cup scallions; 5 ⅓ teaspoons mushroom bouillon; 4 tablespoons fresh corn; 2 ¼ teaspoons mushroom bouillon
323,Black Apple Old-Fashioned,1 ounce apple brandy; 2 dashes apple bitters; Garnish orange twist
324,Oat Milk,
325,Amazuzuke (Quick Vinegar Pickles),3 sprig s each thyme
326,Chicken-Lentil Soup With Jammy Onions,4 skin-on
327,Green Curry Vinegar Chicken,8 shallots
328,Ginger-Scallion Meatballs With Green Curry Sauce,1 lb . ground pork; 6 scallions; 2 tsp. finely  peeled ginger; 1  container baby spinach; 2 Tbsp. fresh lime juice; unsweetened shredded coconut; and lime wedges
329,Chocolate-Almond Fridge Fudge,4 oz . bittersweet chocolate; ½ ripe avocado
330,Ultimate Green Curry (Gaeng Khiaw Wan Gai),1 pound boneless chicken thighs; 1 cup cubed eggplant; ½ cup whole Thai basil leaves
331,Risotto With Mushrooms and Thyme,½ l arge white onion; 1 lb. mushrooms
332,Thai Green Curry Paste,2 l emongrass stalks
333,"Breakfast Sandwich on an English Muffin With Charred Red Onions, Herbs, and Cheddar",1 medium red onion
334,Cauliflower Bolognese,12 oz . mushrooms
335,Chickpea and Chorizo Tostadas,1  can chickpeas; 1 lime; 8 sprigs cilantro
336,Crispy Tofu With Maple-Soy Glaze,1  piece ginger;  scallions
337,Big Flavor Broccoli,1 lb . broccoli; 1 small red onion; 4 garlic cloves; Lemon wedges
338,Pork Marbella,2  pork tenderloins; 4 garlic cloves
339,Chicken and Rice Meatballs With Hummus,6 scallions; 2 garlic cloves; 1  piece ginger
340,Power Butter,
341,Bright and Spicy Shrimp Noodle Salad,⅓ cup fresh lime juice; 1  piece ginger
342,Steamed Kabocha With Ginger-Soy Dressing,3 scallions
343,Turmeric Salmon With Coconut Crisp,2 bunch es Swiss chard
344,Za’atar Fish and Chips,1 small red onion; 1½ lb. small Yukon Gold potatoes; 1  skinless
345,Warm Winter Vegetable Salad With Halloumi,2 g arlic cloves; ½ small head of red cabbage; 1 medium red onion; 1½ lb. winter squash
346,Kale Pesto With Whole Wheat Pasta,1 l arge bunch Tuscan kale; 1 garlic clove
347,Lentil-Smothered Greens on Fried Bread,1 medium onion; 1 fennel bulb; 2 celery stalks; 11 garlic cloves
348,Rosemary Mojito,1 l arge sprig rosemary; 1 ounce freshly squeezed lime juice; Garnish lime wheel and rosemary sprig; 2 large sprigs rosemary; 2 bunches thyme; 5 sage leaves
349,Double Chocolate Rye Cookies,
350,That'll Take the Edge Off,One 1-inch round grapefruit peel
351,Aviation,0.75 oz . lemon juice
352,Bittersweet Symphony (Gin and Aperol Cocktail),Garnish: 1 generous lemon twist
353,Sforzando (Whiskey and Mezcal Cocktail),Garnish: Orange twist
354,Little Italy,
355,Oaxaca Old Fashioned,Flamed orange twist
356,Manhattan,2 dashes Angostura or orange bitters; Maraschino cherry for garnish
357,Rose Cocoa,
358,East India Negroni,Garnish: 1 orange twist
359,Bitter French,1⁄2 ounce fresh lemon juice; Champagne; Garnish: 1 grapefruit twist
360,Negroni,1 navel orange peel twist
361,Roasted Oysters With Warm Butter Mignonette,1 small shallot; 12 oysters in shell
362,Steamed Winter Veggie Bowls,1 1/2 lb . baby Yukon Gold potatoes; 8 leeks
363,Chicken Peppersoup,1 tablespoon coriander seeds; 1 tablespoon ground ginger; 1 tablespoon fennel seeds; 1  chicken; 1/4 cup freshly squeezed lemon juice; 1 onion; 2 cloves garlic; 2 tablespoons  dried smoked shrimp; 2 tablespoons chopped fresh mint; Mint sprigs
364,"Shaved Mushroom, Celery, and Sesame Salad",2 stalks celery; 5 ounces cremini or button mushrooms; 1 ½ teaspoons fresh lemon juice; Handful whole parsley leaves
365,Tartiflette,1kg Maris Piper potatoes; 1 large Spanish onion; 4 garlic cloves; 1 bay leaf
366,Broiled Goat Cheese Toasts With Marinated Greens,2 bunch es  leafy greens: Swiss chard
367,Silken Tofu With Soy-Sauced Tomatoes,1 cup cherry tomatoes; Thinly  scallions; Thinly  basil
368,Market Suya (Nigerian Skewers),½ tablespoon ground ginger; 1 pound jumbo shrimp; 1 pound Wagyu rib eye beef; 1 pound boneless chicken thighs; 2 medium vine-ripened tomatoes; 1 medium white onion
369,Egusi Stew,4 cup s  small onions; 2 tablespoons  garlic; 2 whole tomatoes; 2 tablespoons  ginger; 2 cups pumpkin leaf or spinach
370,Casino Cocktail,½ oz . fresh lemon juice; 2 dashes orange bitters; Garnish: Luxardo cherry
371,Chinese Broccoli With Soy Paste,1 lb . Chinese broccoli or broccolini
372,Alfajores With Coconut Dulce de Leche,1½ cup s  unsweetened shredded coconut
373,Spinach and Egg Dumplings,3 ounce s spinach
374,Soy-Braised Chicken Wings,2  piece s ginger
375,Scallion-Oil Noodles,10 scallions
376,Crispy Taiwanese Pork Cutlets,4  boneless pork loin chops; 1½ cups Chinese sweet potato starch
377,Turf Mix,2 cup s wasabi peas; 1  bag baked snap pea crisps; 1  bag Dang coconut chips; 1 Tbsp. finely  lime zest; 1/4 cup dried dill
378,Lamb and Green Squash Dumplings,1 small zucchini; 1 pound ground lamb; 3 scallions
379,Boiled or Panfried Dumpling Dough,
380,Parson’s Negroni Slushy,2 ounce s Letherbee gin; 1 1⁄2 ounces fresh grapefruit juice; 1 1⁄2 ounces fresh orange juice; Garnish: frozen orange half wheels
381,Mala Fried Peanuts,2 cup s raw peanuts
382,Five-Spice Powder,20 slice s dried sand ginger
383,Pork Wontons With Sesame Sauce,1 lb . ground pork; 1 scallion; 1 tsp. finely  peeled ginger; 1–3 Tbsp. store-bought or homemade chili crisp; plus more for serving; Thinly  scallions
384,Kiribath (Coconut Milk Rice),
385,Pol Sambol (Coconut Relish),1 small onion; 1 garlic clove; 1 medium tomato; 200g  freshly  or desiccated  coconut; 1 tsp Maldive fish; juice of ½ lime
386,Steel-Cut Oats with Squash and Tahini,
387,"Roasted, Mashed Butternut Squash",
388,Mussel Minestrone,1 small onion; ½ a zucchini; 1 carrot; 1 small leek; 2 sticks of celery; 1 bay leaf; 500g  mussels
389,"One-Pot Pie with Callaloo, Plantain, Goat Cheese, and Cornmeal Crust",2 clove s garlic
390,Chicken and Black Bean Nachos,1 small white onion; 1  can black beans; ¼ teaspoon dried oregano; 2 cups  shredded cooked chicken; 1 avocado
391,Ackee Tacos with Island Guacamole,3 medium avocados
392,"Watermelon, Lime, and White Pepper Yogurt Drink",1 1/2 cup s [210 g] cubed watermelon; 1/4 cup [60 ml] fresh lime juice
393,Watermelon Chia Smoothie,1 cup watermelon chunks; 1⁄4 cup  frozen cauliflower florets; 2 fresh mint leaves; 1⁄2 cup  coconut water; herbal iced tea
394,Secret Mango Creamsicle Smoothie,1⁄2 cup  frozen mango chunks; 1 small carrot
395,Blueberry Muffin Smoothie,1⁄2 fresh or frozen banana; 1⁄4 teaspoon lemon zest
396,Apple Pie Smoothie,1 G ala
397,Bean Lavash Triangles,½ yellow onion; 2  cans cranberry or pinto beans
398,"Pineapple, Blackberry, and Basil Smoothie",1 cup chopped fresh pineapple; ½ cup basil leaves; 1 cup coconut water; Juice of ½ lime
399,Morning Sunrise Smoothie,2 medium carrots; 1 cup fresh or frozen pineapple chunks; 2-inch piece fresh ginger; Juice of 1 lemon
400,Black-and-White-and-Green Cookies,2 cup s  mint leaves
401,Chewy Ginger-Rye Cookies,3 tsp . ground ginger; ⅓ cup   crystallized ginger
402,Malaysian Chicken Curry with Buttermilk Beer Beignets,1 teaspoon chicken bouillon; 1 pound dark meat chicken; 2 ½ teaspoons sambal badjak; ¼ yellow or white onion; 2 makrut lime leaves; ⅓ pound Okinawan sweet potatoes; ⅓ pound carrots; Scallions; coarsely chopped
403,Tea-Totaler’s Toddy,12 sprig s mint; 6 lemons
404,Almond Pad Thai With Shiritaki Noodles,2 cup s broccoli florets; 2 cups shredded peeled carrots; ½ cup peas; 6 tablespoons coconut aminos; ¼ cup thinly  green onions
405,Spicy Citrus Refresher,4 l imes; 7 navel oranges; 2 small jalapeños
406,Shirley Tonic,1  piece ginger; 6 cups pomegranate juice; Club soda and lemon twists
407,Pine Nut and White Bean Dip,1 g arlic clove; 1  can cannellini  beans
408,Lime-Cilantro Chicken and Broccoli,1 tablespoon freshly squeezed lime juice; ½ cup packed cilantro leaves; 4 garlic cloves; 1 tablespoon coconut aminos; 2 boneless
409,Instant Pot Coconut Green Curry Shrimp,2 teaspoons  fresh ginger; 2 cloves garlic; 1  bag frozen peeled and deveined shrimp; 3 cups  baby spinach/arugula blend; 1 tablespoon chopped fresh chives
410,Better Than Celery Juice,3 G ranny Smith apples
411,Shredded Daikon Salad,1 red finger or Fresno chile
412,Okonomiyaki (“As You Like It”) Pancakes With Bonito Flakes,8 ounce s  cabbage; 2 scallions; 8 ounces  boneless chicken
413,Paneer Butter Masala,1 l arge yellow onion; 1¾-inch piece of ginger; 6 cloves of garlic; 2  cans of  tomatoes; 1½ cups peas
414,Pesto Pasta Frittata,
415,"Salmon Confit with Lime, Juniper, and Fennel",2 l imes; ½ teaspoon fennel seeds; 4  skinless salmon fillets; 6 sprigs fresh marjoram or thyme; 1 large fennel bulb
416,Coconut-Braised Chickpeas with Sweet Potatoes and Greens,1 onion; 2 garlic cloves; 1 tablespoon  or  fresh ginger; 1 large bunch  greens
417,Crispy Sheet-Pan Broccoli,3 l arge heads broccoli
418,Prawn Moilee,300g Spanish white onions; 15g  garlic paste; 15g  ginger paste; 25g  fresh root ginger; 24 large prawns; 300g  medium tomatoes; Lemon wedges
419,Spinach and Feta Cooked Like Saag Paneer,2 tablespoons coriander seeds; 1 small yellow onion; 1 tablespoon roughly chopped fresh ginger; 1 garlic clove; 1 pound fresh baby spinach; ½ tablespoon fresh lime juice; 1 small Indian green chile or serrano chile
420,Cardamom-Pistachio Bûche de Noël,2 oz . chopped bittersweet chocolate; 8 oz. chopped bittersweet chocolate; 8 oz. chopped dark chocolate
421,Tonnato Eggs,2 Tbsp . fresh lemon juice; 2 Tbsp. salmon roe
422,Chickpea-Mushroom Burgers,2  cans chickpeas
423,Kimchi Soup With Tofu and Clams,1 small onion; 6 garlic cloves; 1 lb. littleneck clams; 2 scallions
424,Roasted Cabbage Steaks With Crispy Chickpeas and Herby Croutons,2 medium purple or green cabbages; 2  cans chickpeas
425,Creamy Squash Risotto With Toasted Pepitas,1 medium onion; 2 tsp. finely  orange zest; 1/2 cup coarsely chopped dill or parsley; Orange wedges
426,Winter Salad Hummus Bowls,1 bunch curly kale
427,Ponche a Crème,Zest of 1 lime
428,Seedy Power Sprinkle,
429,Salad Pasta,1 head garlic
430,Martini-on-the-Rocks,
431,Oystertini,1 strip of lemon peel
432,Sakura Martini,Cherry blossom
433,Allies Cocktail,
434,Puritan Cocktail,1 dash orange bitters; Lemon twist
435,Tuxedo No. 2,4 dashes orange bitters; Orange twist and cherry
436,Obituary Cocktail,
437,Classic Dry Martini,2 1/2 ounce s London dry gin
438,Chard-Wrapped Fish with Lemon and Olive,2 l emons; 3 cups cilantro leaves; 4 garlic cloves; 5 very large Swiss chard leaves; 1½ pounds skinless
439,"Chilaquiles With Bacon, Eggs, and Cheese",1/2 lb . thick-cut bacon; 6 garlic cloves
440,Instant Pot Tequila Lime Carnitas,2 1/2- to 3-pound boneless pork butt roast; 2 tablespoons chile-lime seasoning; 4 tablespoons fresh lime juice; 1/2 cup chopped fresh cilantro; 1 teaspoon  lime zest; avocado
441,Instant Pot Chicken Parmesan Meatballs,1/2 cup pork rinds or almond meal; 2 tablespoons chopped fresh basil; 2 cloves garlic; 1 1/2 pounds ground chicken; 1 tablespoon tomato paste; 1  can whole peeled plum  tomatoes; 1 teaspoon dried basil
442,Spicy Chickpea Poppers,2 1/2 head s of garlic; 1/2 teaspoon ground coriander; 1  can chickpeas; A good handful fresh Thai basil leaves; 1 garlic clove
443,Pandora’s Box,1 vanilla bean; 1 tablespoon loose chamomile tea
444,Islay and Olive,10 dashes orange bitters; 12 lemon twists
445,Sneaky Peat,3/4 cup fresh lemon juice; 8 lemon wheels
446,The Blaylock,4 1/2 cup s fresh pink grapefruit juice; 1 cup plus 2 tablespoons fresh lemon juice; Lemon wedges
447,Pansit Palabok (Rice Noodles with Shrimp Sauce),1 tablespoon  garlic; 1 pound  raw jumbo shrimp
448,Bubble and Squeak With Stilton,1 l arge onion; 2 leeks; About 250g  leftover cooked potatoes; About 200g  leftover cooked carrots; About 200g  leftover cooked brussels sprouts; 3 teaspoons chopped parsley
450,Spiced Pomegranate and Orange Glazed Ham,1 cup orange juice; 1⁄4 cup  pomegranate molasses; 1  ham leg; 4 oranges
451,Christmas Cake,8 soft fresh dates
452,Super-Simple Overnight Porridge,3 thick slices unpeeled ginger; 2 green onions
453,Sourdough Rye Brownies,
454,Smoked Trout Croquettes,6 medium russet potatoes
455,Smoked Salmon Tartare,8 oz . smoked salmon; 2 tsp. finely  lemon zest; Potato chips
456,Vanilla Butter Anchovy Toasts,1 Tbsp . vanilla bean paste; 2 Tbsp.  parsley leaves
457,Lavash,
458,Ragù Bolognese,1 medium yellow onion; 2 small celery ribs; 1 carrot; 2 ounces prosciutto di Parma; ¾ pound ground beef chuck; ¾ pound ground pork; One 28-ounce can tomato purée
459,Oysters with Balsamic,24 raw oysters
460,Coconut Cabbage and Tofu With Lemongrass and Ginger,1 l emongrass stalk
461,Pecan-Rye Pumpkin Pie,1 tsp . ground ginger
462,Lemon Meringue Pie,Zest of 4 lemons; 1 cup fresh lemon juice
463,Chocolate Pudding Pie,4 oz . bittersweet chocolate
464,Blind-Baked Pie Crust,
465,Banana Cream Pie,9 whole graham crackers; 4 large ripe but firm bananas
466,Why-Is-It-So-Good Gravy,3 lb . turkey and/or chicken wings; 2 heads of garlic; 2 large shallots
467,Fancy Cranberry Sauce,1 cup unsweetened cranberry juice or water; 2  strips orange zest
468,Squash and Radicchio Salad With Pecans,½ small shallot; ¼ cup fresh lemon juice; 2 Tbsp. fresh orange juice; ½ medium Asian pear; 1 Tbsp. fresh lemon juice; ¼ cup parsley leaves; ½ lemon
